epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,61.2717,1.27762,1.7734,1.11105,0.00352,0.63333,0.00392,0.00191,2.3341,4.43015,1.84278,0.000866928,0.000866928,0.000866928
57,62.3684,1.2335,1.61945,1.17674,0.00367,0.63333,0.00397,0.00189,2.42405,4.40738,1.87725,0.000881766,0.000881766,0.000881766
58,63.3976,1.60982,2.21861,1.24086,0.00367,0.63333,0.00397,0.00189,2.42405,4.40738,1.87725,0.000896571,0.000896571,0.000896571
59,64.4117,1.76443,1.84851,1.20094,0.00367,0.63333,0.00397,0.00189,2.42405,4.40738,1.87725,0.000911343,0.000911343,0.000911343
60,65.4845,1.93927,2.14684,1.27626,0.00363,0.63333,0.00368,0.00187,2.4066,4.48483,1.84892,0.000926082,0.000926082,0.000926082
61,66.5085,1.34091,1.76064,1.24702,0.00363,0.63333,0.00368,0.00187,2.4066,4.48483,1.84892,0.000940788,0.000940788,0.000940788
62,67.5293,1.22235,1.73274,1.23512,0.00363,0.63333,0.00368,0.00187,2.4066,4.48483,1.84892,0.000955461,0.000955461,0.000955461
63,68.6124,1.42292,1.64012,1.14763,0.00356,0.63333,0.0777,0.02193,2.43648,4.48304,1.89887,0.000970101,0.000970101,0.000970101
64,69.6105,1.35908,1.56812,1.10209,0.00356,0.63333,0.0777,0.02193,2.43648,4.48304,1.89887,0.000984708,0.000984708,0.000984708
65,70.6771,1.51542,1.82139,1.02107,0.00356,0.63333,0.0777,0.02193,2.43648,4.48304,1.89887,0.000999282,0.000999282,0.000999282
66,71.7156,1.61643,1.84263,1.2034,0.00354,0.63333,0.10895,0.06462,2.45925,4.37201,1.95955,0.00101382,0.00101382,0.00101382
67,72.7026,1.49226,2.63914,1.17082,0.00354,0.63333,0.10895,0.06462,2.45925,4.37201,1.95955,0.00102833,0.00102833,0.00102833
68,73.7499,1.30123,2.02937,1.11976,0.00354,0.63333,0.10895,0.06462,2.45925,4.37201,1.95955,0.00104281,0.00104281,0.00104281
69,74.8362,1.37493,1.82478,1.123,0.00351,0.63333,0.10068,0.07959,2.43996,4.3614,1.82616,0.00105725,0.00105725,0.00105725
70,75.8586,1.50549,2.46945,1.37183,0.00351,0.63333,0.10068,0.07959,2.43996,4.3614,1.82616,0.00107166,0.00107166,0.00107166
71,76.9404,1.18046,1.59476,1.0031,0.00351,0.63333,0.10068,0.07959,2.43996,4.3614,1.82616,0.00108603,0.00108603,0.00108603
72,77.9785,1.41053,1.97471,1.18051,0.0029,0.46667,0.01125,0.00825,2.64848,4.267,1.85464,0.00110038,0.00110038,0.00110038
73,78.9793,1.10506,1.74617,0.99171,0.0029,0.46667,0.01125,0.00825,2.64848,4.267,1.85464,0.00111469,0.00111469,0.00111469
74,79.9968,1.50655,1.60191,1.19702,0.0029,0.46667,0.01125,0.00825,2.64848,4.267,1.85464,0.00112896,0.00112896,0.00112896
75,81.0788,1.18328,1.5416,1.04385,0.68279,0.12186,0.28311,0.13369,2.61545,4.02257,2.0301,0.00114321,0.00114321,0.00114321
76,82.1473,1.48485,1.62143,1.11548,0.68279,0.12186,0.28311,0.13369,2.61545,4.02257,2.0301,0.00115742,0.00115742,0.00115742
77,83.1611,1.23285,1.47786,1.10247,0.68279,0.12186,0.28311,0.13369,2.61545,4.02257,2.0301,0.0011716,0.0011716,0.0011716
78,84.426,1.16183,3.05441,0.9632,0.00405,0.63333,0.36895,0.2199,2.37756,3.74815,1.96664,0.00118574,0.00118574,0.00118574
79,85.6079,1.54417,1.77425,1.02577,0.00405,0.63333,0.36895,0.2199,2.37756,3.74815,1.96664,0.00119985,0.00119985,0.00119985
80,86.6963,1.66539,2.412,1.19756,0.00405,0.63333,0.36895,0.2199,2.37756,3.74815,1.96664,0.00121393,0.00121393,0.00121393
81,87.7715,1.36606,1.60307,1.17444,0.00347,0.63333,0.33402,0.21919,2.23397,3.76675,1.84691,0.00122798,0.00122798,0.00122798
